id,code,country_code,parent_id,level,name,native_name,is_active,sort_order,created_at,updated_at
181,,TW,10,2,水里鄉,水里鄉,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
182,,TW,10,2,魚池鄉,魚池鄉,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
183,,TW,10,2,信義鄉,信義鄉,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
184,,TW,10,2,竹山鎮,竹山鎮,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
185,,TW,10,2,鹿谷鄉,鹿谷鄉,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
186,,TW,11,2,斗南鎮,斗南鎮,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
187,,TW,11,2,大埤鄉,大埤鄉,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
188,,TW,11,2,虎尾鎮,虎尾鎮,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
189,,TW,11,2,土庫鎮,土庫鎮,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
190,,TW,11,2,褒忠鄉,褒忠鄉,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
191,,TW,11,2,東勢鄉,東勢鄉,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
192,,TW,11,2,臺西鄉,臺西鄉,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
193,,TW,11,2,崙背鄉,崙背鄉,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
194,,TW,11,2,麥寮鄉,麥寮鄉,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
195,,TW,11,2,斗六市,斗六市,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
196,,TW,11,2,林內鄉,林內鄉,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
197,,TW,11,2,古坑鄉,古坑鄉,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
198,,TW,11,2,莿桐鄉,莿桐鄉,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
199,,TW,11,2,西螺鎮,西螺鎮,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
200,,TW,11,2,二崙鄉,二崙鄉,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
201,,TW,11,2,北港鎮,北港鎮,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
202,,TW,11,2,水林鄉,水林鄉,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
203,,TW,11,2,口湖鄉,口湖鄉,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
204,,TW,11,2,四湖鄉,四湖鄉,1,19,2/12/2025 11:44:23,2/12/2025 11:44:23
205,,TW,11,2,元長鄉,元長鄉,1,20,2/12/2025 11:44:23,2/12/2025 11:44:23
206,,TW,12,2,東區,東區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
207,,TW,12,2,西區,西區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
208,,TW,13,2,番路鄉,番路鄉,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
209,,TW,13,2,梅山鄉,梅山鄉,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
210,,TW,13,2,竹崎鄉,竹崎鄉,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
211,,TW,13,2,阿里山鄉,阿里山鄉,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
212,,TW,13,2,中埔鄉,中埔鄉,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
213,,TW,13,2,大埔鄉,大埔鄉,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
214,,TW,13,2,水上鄉,水上鄉,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
215,,TW,13,2,鹿草鄉,鹿草鄉,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
216,,TW,13,2,太保市,太保市,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
217,,TW,13,2,朴子市,朴子市,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
218,,TW,13,2,東石鄉,東石鄉,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
219,,TW,13,2,六腳鄉,六腳鄉,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
220,,TW,13,2,新港鄉,新港鄉,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
221,,TW,13,2,民雄鄉,民雄鄉,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
222,,TW,13,2,大林鎮,大林鎮,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
223,,TW,13,2,溪口鄉,溪口鄉,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
224,,TW,13,2,義竹鄉,義竹鄉,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
225,,TW,13,2,布袋鎮,布袋鎮,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
226,,TW,14,2,中西區,中西區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
227,,TW,14,2,東區,東區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
228,,TW,14,2,南區,南區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
229,,TW,14,2,北區,北區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
230,,TW,14,2,安平區,安平區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
231,,TW,14,2,安南區,安南區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
232,,TW,14,2,永康區,永康區,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
233,,TW,14,2,歸仁區,歸仁區,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
234,,TW,14,2,新化區,新化區,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
235,,TW,14,2,左鎮區,左鎮區,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
236,,TW,14,2,玉井區,玉井區,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
237,,TW,14,2,楠西區,楠西區,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
238,,TW,14,2,南化區,南化區,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
239,,TW,14,2,仁德區,仁德區,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
240,,TW,14,2,關廟區,關廟區,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
241,,TW,14,2,龍崎區,龍崎區,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
242,,TW,14,2,官田區,官田區,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
243,,TW,14,2,麻豆區,麻豆區,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
244,,TW,14,2,佳里區,佳里區,1,19,2/12/2025 11:44:23,2/12/2025 11:44:23
245,,TW,14,2,西港區,西港區,1,20,2/12/2025 11:44:23,2/12/2025 11:44:23
246,,TW,14,2,七股區,七股區,1,21,2/12/2025 11:44:23,2/12/2025 11:44:23
247,,TW,14,2,將軍區,將軍區,1,22,2/12/2025 11:44:23,2/12/2025 11:44:23
248,,TW,14,2,學甲區,學甲區,1,23,2/12/2025 11:44:23,2/12/2025 11:44:23
249,,TW,14,2,北門區,北門區,1,24,2/12/2025 11:44:23,2/12/2025 11:44:23
250,,TW,14,2,新營區,新營區,1,25,2/12/2025 11:44:23,2/12/2025 11:44:23
251,,TW,14,2,後壁區,後壁區,1,26,2/12/2025 11:44:23,2/12/2025 11:44:23
252,,TW,14,2,白河區,白河區,1,27,2/12/2025 11:44:23,2/12/2025 11:44:23
253,,TW,14,2,東山區,東山區,1,28,2/12/2025 11:44:23,2/12/2025 11:44:23
254,,TW,14,2,六甲區,六甲區,1,29,2/12/2025 11:44:23,2/12/2025 11:44:23
255,,TW,14,2,下營區,下營區,1,30,2/12/2025 11:44:23,2/12/2025 11:44:23
256,,TW,14,2,柳營區,柳營區,1,31,2/12/2025 11:44:23,2/12/2025 11:44:23
257,,TW,14,2,鹽水區,鹽水區,1,32,2/12/2025 11:44:23,2/12/2025 11:44:23
258,,TW,14,2,善化區,善化區,1,33,2/12/2025 11:44:23,2/12/2025 11:44:23
259,,TW,14,2,大內區,大內區,1,34,2/12/2025 11:44:23,2/12/2025 11:44:23
260,,TW,14,2,山上區,山上區,1,35,2/12/2025 11:44:23,2/12/2025 11:44:23
261,,TW,14,2,新市區,新市區,1,36,2/12/2025 11:44:23,2/12/2025 11:44:23
262,,TW,14,2,安定區,安定區,1,37,2/12/2025 11:44:23,2/12/2025 11:44:23
263,,TW,15,2,新興區,新興區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
264,,TW,15,2,前金區,前金區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
265,,TW,15,2,苓雅區,苓雅區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
266,,TW,15,2,鹽埕區,鹽埕區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
267,,TW,15,2,鼓山區,鼓山區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
268,,TW,15,2,旗津區,旗津區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
